engine,category,best_test,candidate_test,best_energy,candidate_energy,ratio_to_best
jsc,replace-size,baseline,baseline,93045996.5,93045996.5,1.0
jsc,replace-size,baseline,replace-regex,93045996.5,260387426.0,2.7984807062601558
jsc,replace-size,baseline,replaceAll,93045996.5,246826150.5,2.652732624557361
jsc,replace-size,baseline,replaceAll-regex,93045996.5,259976782.5,2.7940673675304235
jsc,replace-size,baseline,split-join,93045996.5,140783789.0,1.513055846524251
jsc,search-string,baseline,baseline,85448634.0,85448634.0,1.0
jsc,search-string,baseline,indexOf,85448634.0,85775232.0,1.0038221558930949
jsc,string-from-array,literal,baseline,185658002.5,190539765.0,1.026294382328066
jsc,string-from-array,literal,concat,185658002.5,186317882.5,1.0035542771715429
jsc,string-from-array,literal,join,185658002.5,3627601981.0,19.539163042541084
jsc,string-from-array,literal,literal,185658002.5,185658002.5,1.0
jsc,substring,charAt,baseline,108454312.0,124895799.0,1.1515982785451628
jsc,substring,charAt,charAt,108454312.0,108454312.0,1.0
jsc,substring,charAt,substr,108454312.0,115696816.5,1.0667793134864014
jsc,sum-array,reduce,baseline,69604344.5,89448074.5,1.2850932674180993
jsc,sum-array,reduce,reduce,69604344.5,69604344.5,1.0
qjs,access-char,baseline,baseline,108117582.5,108117582.5,1.0
